"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21"
"T152.PL2.rpoB" "T211" "SBL-04-09-G" "SBL" "4" "9" "Acer_rubrum" "G" "43363" "JBL" "43364" "Phosphate" "2" "8" "56" "SBL-43364-2" "Batch_09" "T211.PL2.rpoB" "PL_06" "rpoB-PL2" "S520" "N728"
"T15.PL2.rpoB" "T182" "MSH-02-01-G" "MSH" "2" "1" "Acer_saccharum" "G" "43391" "JBL&Emilie" "43392" "Phosphate" "2" "14" "32" "MSH-43392-2" "Batch_08" "T182.PL2.rpoB" "PL_02" "rpoB-PL2" "S521" "N729"
"T161.PL2.rpoB" "T230" "MSH-05-02-C" "MSH" "5" "2" "Acer_saccharum" "C" "43318" "JBL" "43320" "Phosphate" "3" "12" "55" "MSH-43320-3" "Batch_10" "T230.PL2.rpoB" "PL_05" "rpoB-PL2" "S515" "N727"
"T165.PL2.rpoB" "T165" "SBL-01-04-G" "SBL" "1" "4" "Acer_rubrum" "G" "43363" "JBL" "43364" "Phosphate" "3" "8" "71" "SBL-43364-3" "Batch_07" "T165.PL2.rpoB" "PL_02" "rpoB-PL2" "S516" "N724"
"T168.PL2.rpoB" "T168" "SBL-03-10-E" "SBL" "3" "10" "Acer_pennsylcanicum" "E" "43328" "JBL" "43329" "Phosphate" "4" "6" "74" "SBL-43329-4" "Batch_07" "T168.PL2.rpoB" "PL_02" "rpoB-PL2" "S515" "N728"
"T170.PL2.rpoB" "T170" "SBL-02-05-A" "SBL" "2" "5" "Acer_pennsylcanicum" "A" "43271" "JBL" "43272" "Redford" "1" "2" "08" "SBL-43272-1" "Batch_08" "T170.PL2.rpoB" "PL_02" "rpoB-PL2" "S522" "N723"
"T176.PL2.rpoB" "T176" "SBL-04-09-A" "SBL" "4" "9" "Acer_rubrum" "A" "43271" "JBL" "43272" "Phosphate" "2" "2" "21" "SBL-43272-2" "Batch_08" "T176.PL2.rpoB" "PL_02" "rpoB-PL2" "S513" "N727"
"T182.PL2.rpoB" "T210" "SBL-04-08-A" "SBL" "4" "8" "Acer_rubrum" "A" "43271" "JBL" "43273" "Phosphate" "3" "2" "55" "SBL-43273-3" "Batch_09" "T210.PL2.rpoB" "PL_02" "rpoB-PL2" "S520" "N729"
"T183.PL2.rpoB" "T150" "MSH-06-02-C" "MSH" "6" "2" "Fagus_grandifolia" "C" "43318" "JBL" "43319" "Phosphate" "1" "12" "17" "MSH-43319-1" "Batch_07" "T150.PL2.rpoB" "PL_02" "rpoB-PL2" "S517" "N728"
"T18.PL2.rpoB" "T120" "SBL-04-01-G" "SBL" "4" "1" "Abies_balsamea" "G" "43363" "JBL" "43364" "Phosphate" "3" "8" "82" "SBL-43364-3" "Batch_05" "T120.PL2.rpoB" "PL_02" "rpoB-PL2" "S518" "N727"
"T197.PL2.rpoB" "T197" "MSH-05-05-G" "MSH" "5" "5" "Ostria_virginiana" "G" "43391" "JBL&Emilie" "43392" "Phosphate" "1" "14" "11" "MSH-43392-1" "Batch_09" "T197.PL2.rpoB" "PL_02" "rpoB-PL2" "S517" "N723"
"T202.PL2.rpoB" "T202" "SBL-04-09-E" "SBL" "4" "9" "Acer_rubrum" "E" "43328" "JBL" "43329" "Phosphate" "2" "6" "29" "SBL-43329-2" "Batch_09" "T202.PL2.rpoB" "PL_02" "rpoB-PL2" "S516" "N726"
