"Kingdom" "Phyllum" "Class" "Order" "Family" "Genus" "Species"
"441" 100 100 100 94 51 42 13
"442" 100 100 100 96 58 56 19
"443" 100 100 100 86 29 29 21
"444" 100 100 100 98 95 95 94
"445" 100 100 100 100 100 100 100
"446" 100 100 100 73 72 44 33
"447" 100 100 100 100 81 75 28
"448" 100 100 100 65 54 28 20
"449" 100 100 100 100 100 100 100
"450" 100 100 100 85 27 27 17
"451" 100 100 100 81 32 29 7
"452" 100 100 100 97 71 66 22
"453" 100 100 100 100 100 100 100
"454" 100 100 100 98 20 20 3
"455" 100 100 100 92 86 86 78
"456" 100 100 100 88 85 51 30
"457" 100 100 100 100 43 39 9
"458" 100 100 100 90 80 80 63
"459" 100 100 100 90 72 72 59
"460" 100 100 100 95 18 18 18
"461" 100 100 100 97 84 69 29
"462" 100 100 100 100 93 93 59
"463" 100 100 100 97 83 83 52
"464" 100 100 100 40 40 28 9
"465" 100 100 100 72 17 16 9
"466" 100 100 100 81 14 14 14
"467" 100 100 100 98 25 6 5
"468" 100 100 100 74 68 40 16
"469" 100 100 100 100 100 99 68
"470" 100 100 100 100 90 90 87
"471" 100 100 100 76 15 9 8
"472" 100 100 100 59 56 22 16
"473" 100 100 100 100 100 100 100
"474" 100 100 100 100 100 100 100
"475" 100 100 100 100 100 100 100
"476" 100 100 100 83 16 16 16
"477" 100 100 100 89 88 50 12
"478" 100 100 100 100 89 87 37
"479" 100 100 100 92 90 90 64
"480" 100 100 100 96 78 78 73
"481" 100 100 100 92 43 40 13
"482" 100 100 100 100 100 100 82
"483" 100 100 100 95 83 54 28
"484" 100 100 100 86 15 15 13
"485" 100 100 100 86 31 29 26
"486" 100 100 100 100 100 100 100
"487" 100 100 100 98 57 56 12
"488" 100 100 100 80 80 27 27
"489" 100 100 100 67 66 26 6
"490" 100 100 100 99 95 95 25
"491" 100 100 100 95 65 64 15
"492" 100 100 100 97 69 69 25
"493" 100 100 100 91 43 29 11
"494" 100 100 100 88 24 24 12
"495" 100 100 100 79 25 25 22
"496" 100 100 100 66 14 9 3
"497" 100 100 100 94 92 41 30
"498" 100 100 100 100 100 100 45
"499" 100 100 100 93 85 85 72
"500" 100 100 100 90 46 18 13
"501" 100 100 100 76 22 22 9
