"log(Level)" "Level" "(-log10(1.005-PS))" "PS"
6.4568 637 0.2994 0.5031
6.4583 638 0.2981 0.5016
6.4599 639 0.2968 0.5002
6.4615 640 0.2956 0.4987
6.463 641 0.2943 0.4972
6.4646 642 0.293 0.4956
6.4661 643 0.2917 0.4941
6.4677 644 0.2904 0.4926
6.4693 645 0.2891 0.4911
6.4708 646 0.2879 0.4896
6.4723 647 0.2866 0.4881
6.4739 648 0.2853 0.4866
6.4754 649 0.284 0.4851
6.477 650 0.2828 0.4835
6.4785 651 0.2815 0.482
6.48 652 0.2803 0.4805
6.4816 653 0.279 0.479
6.4831 654 0.2777 0.4774
6.4846 655 0.2765 0.4759
6.4862 656 0.2752 0.4744
6.4877 657 0.274 0.4728
6.4892 658 0.2727 0.4713
6.4907 659 0.2715 0.4698
6.4922 660 0.2702 0.4682
6.4938 661 0.269 0.4667
6.4953 662 0.2677 0.4651
6.4968 663 0.2665 0.4636
6.4983 664 0.2652 0.462
6.4998 665 0.264 0.4605
