"Level" "node" "mother_node" "sequences" "PS_median" "PS_max" "PS_min" "bootstrapp"
213 887 886 2 0.94211 0.94211 0.94211 0.715
231 888 886 2 0.93158 0.93158 0.93158 0.995
197 893 892 3 0.95068 0.96098 0.94878 0.635
241 895 892 8 0.923975 1 0.90411 0.23
143 911 910 15 0.97561 0.99756 0.94878 0.985
136 925 910 4 0.97805 0.99512 0.97317 1
119 930 929 8 0.98415 0.99756 0.87561 0.31
210 942 941 2 0.9439 0.9439 0.9439 0.92
292 944 943 2 0.84878 0.84878 0.84878 0.18
136 952 951 4 0.97805 0.99756 0.97561 0.615
269 959 958 4 0.90732 0.99268 0.87805 0.22
271 962 958 2 0.89512 0.89512 0.89512 0.21
223 966 965 8 0.936585 0.99756 0.87805 0.235
136 973 965 9 0.97805 0.99756 0.95122 0.945
182 501 500 50 0.95854 1 0.93171 0.04
91 550 500 3 0.99268 0.99756 0.99024 0.98
146 554 553 13 0.98049 0.99512 0.9561 0.04
115 567 566 13 0.98537 1 0.96438 0.355
108 579 566 25 0.9878 1 0.97073 0.53
166 606 605 4 0.95854 0.99024 0.92195 0.04
156 609 605 43 0.9878 1 0.92643 0.56
226 660 659 26 0.93014 1 0.88537 0.02
191 685 659 15 0.95366 1 0.92431 0.185
56 700 699 2 1 1 1 0.995
156 701 699 41 0.98293 1 0.92927 0.035
56 747 746 2 1 1 1 1
56 748 746 2 1 1 1 1
200 761 760 25 0.94878 0.99756 0.92683 0.745
186 785 760 2 0.9561 0.9561 0.9561 0.245
136 790 789 7 0.97808 1 0.96575 0.61
104 796 789 3 0.99041 0.99041 0.98904 0.99
56 799 798 2 1 1 1 0.75
123 802 801 19 0.98293 1 0.96341 0.975
96 839 838 5 0.9939 0.99756 0.9878 0.565
152 855 854 4 0.970545 0.97671 0.96027 0.215
56 858 854 2 1 1 1 0.99
121 860 859 8 0.98356 1 0.97945 0.935
143 879 878 2 0.97561 0.97561 0.97561 1
56 880 878 2 1 1 1 0.995
264 886 885 4 0.90921 0.94211 0.90395 0.805
242 892 891 11 0.92466 1 0.89863 0.09
166 910 909 19 0.96585 0.99756 0.88293 0.31
229 929 928 9 0.93293 0.99756 0.87561 0.525
250 941 940 3 0.91951 0.9439 0.91951 0.315
295 943 940 3 0.8561 0.86585 0.84878 0.05
291 946 945 2 0.89024 0.89024 0.89024 0.26
143 951 950 5 0.97561 0.99756 0.96585 1
272 958 957 6 0.89756 0.99268 0.86098 0.05
264 964 963 2 0.85366 0.85366 0.85366 0.52
256 965 963 17 0.91585 0.99756 0.87805 0.17
183 500 499 53 0.95753 1 0.93171 0.115
147 553 552 14 0.98049 0.99512 0.9561 0.065
136 566 552 38 0.97805 1 0.95366 0.16
167 605 604 47 0.98049 1 0.89756 0.01
