"CLx" "strain" "T1" "T2" "day" "Petri" "spot" "X_position" "Y_position" "radius" "av_intensity" "sd_intensity" "av_intensity_back" "sd_intensity_back" "filter"
"94" "A9" "E-009" "30" "20" "7" "P02" " 8" "185" "163" "15.6087" " 1.07649146" "2.731662" "-0.60860135" " 2.696138" "1"
"95" "A9" "E-024" "30" "20" "7" "P02" "10" "183" "275" "13.0000" "27.79691871" "9.533958" " 2.81094925" "11.691857" "1"
"96" "A6" "E-040" "30" "20" "7" "P02" "12" "181" "387" "16.0000" " 1.02326223" "3.160313" "-1.01522572" " 2.845603" "1"
"97" "A9" "E-012" "30" "20" "7" "P02" "14" "241" "160" "15.6087" " 0.19784494" "3.011286" "-0.52824662" " 2.686566" "1"
"98" "A9" "E-027" "30" "20" "7" "P02" "16" "238" "272" "16.0000" " 1.65427854" "3.170091" "-0.74429361" " 3.787677" "1"
"99" "A2" "E-045" "30" "20" "7" "P02" "18" "239" "387" "16.0000" " 9.22572146" "3.728463" " 0.07669289" " 3.124908" "1"
"100" "A9" "J-077" "30" "20" "7" "P02" "20" "301" "164" "17.0000" " 6.54873536" "6.126575" "-0.37669858" " 3.055293" "1"
"101" "A9" "J-088" "30" "20" "7" "P02" "22" "294" "277" "15.6087" " 0.43385154" "5.170084" "-0.69632984" " 2.943680" "1"
"102" "Neg" "0" "30" "20" "7" "P02" "24" "293" "391" "15.6087" "-0.02568988" "2.634356" "-0.10234797" " 2.647310" "1"
"103" "A9" "J-030" "30" "20" "7" "P02" "26" "376" "167" "15.6087" " 0.69030667" "3.105957" "-0.38093803" " 3.115775" "0"
"104" "A9" "J-048" "30" "20" "7" "P02" "28" "371" "278" "16.0000" " 2.43094103" "3.290475" " 0.19598495" " 3.613121" "0"
"105" "A9" "J-064" "30" "20" "7" "P02" "30" "368" "388" "17.0000" " 1.50721421" "3.540707" "-0.65827305" " 3.126982" "0"
"106" "A6" "E-063" "30" "20" "7" "P02" "32" "388" "154" "15.6087" " 0.96648383" "3.473198" "-0.62759459" " 2.742992" "0"
"107" "A9" "J-008" "30" "20" "7" "P02" "34" "393" "264" "17.0000" " 4.73619312" "3.414164" "-0.13912766" " 3.260001" "0"
"108" "A9" "J-026" "30" "20" "7" "P02" "36" "389" "374" "15.6087" " 1.08396846" "3.085379" "-0.75542230" " 3.280452" "0"
"109" "A10" "E-061-B" "20" "30" "7" "P02" " 1" "137" "111" "14.0000" "13.66982055" "3.922087" " 0.55788932" " 5.338158" "1"
"110" "A9" "J-002" "20" "30" "7" "P02" " 3" "142" "215" "15.0000" " 4.22861777" "3.171429" "-0.43183599" " 3.277677" "1"
"111" "A9" "J-019" "20" "30" "7" "P02" " 5" "140" "317" "16.0000" " 3.30314714" "6.091527" "-0.93536594" " 2.601154" "1"
"112" "A9" "E-009" "20" "30" "7" "P02" " 7" "178" "115" "16.0000" " 2.39235885" "4.023590" "-0.26172709" " 3.513833" "1"
"113" "A9" "E-024" "20" "30" "7" "P02" " 9" "184" "213" "15.0400" " 0.22373780" "2.238679" "-0.33405126" " 2.530725" "1"
"114" "A6" "E-040" "20" "30" "7" "P02" "11" "189" "332" "15.0400" " 0.51285914" "2.706179" "-0.51962051" " 2.361198" "1"
"115" "A9" "E-012" "20" "30" "7" "P02" "13" "236" "104" "15.0000" " 6.64585331" "3.766662" "-0.06893094" " 2.958519" "1"
"116" "A9" "E-027" "20" "30" "7" "P02" "15" "241" "220" "14.0000" " 2.93923328" "2.463331" "-0.36485199" " 2.445462" "1"
"117" "A2" "E-045" "20" "30" "7" "P02" "17" "247" "325" "15.0000" " 8.30858956" "4.053552" " 0.33756308" " 4.043318" "1"
"118" "A9" "J-077" "20" "30" "7" "P02" "19" "289" "110" "13.0000" "11.64251418" "2.899956" " 0.35492481" " 4.838269" "1"
"119" "A9" "J-088" "20" "30" "7" "P02" "21" "289" "216" "15.0000" " 1.97929478" "2.540612" "-0.44902722" " 2.211604" "1"
"120" "Neg" "0" "20" "30" "7" "P02" "23" "294" "321" "15.0400" "-0.04788006" "2.100712" "-0.15109188" " 2.061432" "1"
"121" "A9" "J-030" "20" "30" "7" "P02" "25" "339" " 96" "15.0400" " 0.86528591" "2.258562" "-0.13486684" " 2.402553" "1"
"122" "A9" "J-048" "20" "30" "7" "P02" "27" "344" "205" "14.0000" " 6.92323002" "3.719071" "-0.28533462" " 2.954479" "1"
"123" "A9" "J-064" "20" "30" "7" "P02" "29" "352" "313" "14.0000" " 3.72515498" "2.729587" "-0.24901223" " 2.894798" "1"
"124" "A6" "E-063" "20" "30" "7" "P02" "31" "404" "111" "15.0400" " 1.48868898" "2.843916" "-0.38238669" " 3.167601" "1"
"125" "A9" "J-008" "20" "30" "7" "P02" "33" "408" "218" "14.0000" " 5.21603589" "3.868484" "-0.22905084" " 2.578080" "1"
"126" "A9" "J-026" "20" "30" "7" "P02" "35" "408" "325" "18.0000" " 2.49521298" "3.915811" "-0.96914086" " 2.290464" "1"
"127" "A10" "E-061-B" "30" "30" "7" "P02" " 2" "137" "159" "15.0000" "12.96244006" "5.142882" "-0.12119522" " 3.671749" "1"
"128" "A9" "J-002" "30" "30" "7" "P02" " 4" "137" "271" "16.0000" " 4.65486826" "4.603362" "-0.67179549" " 2.615580" "1"
"129" "A9" "J-019" "30" "30" "7" "P02" " 6" "137" "372" "14.0000" " 9.98769784" "5.797829" "-0.73713320" " 3.715970" "1"
"130" "A9" "E-009" "30" "30" "7" "P02" " 8" "178" "166" "17.0000" " 2.61429523" "3.126259" "-0.17787589" " 3.189137" "1"
"131" "A9" "E-024" "30" "30" "7" "P02" "10" "185" "278" "14.0000" "34.46998369" "9.390890" " 2.79931145" "12.375132" "1"
"132" "A6" "E-040" "30" "30" "7" "P02" "12" "192" "380" "17.0000" " 2.08456160" "2.841716" "-0.43890071" " 2.266880" "1"
"133" "A9" "E-012" "30" "30" "7" "P02" "14" "237" "164" "15.0400" " 0.91425384" "2.517610" "-0.34582889" " 2.331915" "1"
