"V1" "V2" "V3" "V4" "1" "2" "3" "4" "5" "YIELD" "RATE"
"E-039_30_20" "A6" "E-039" "30" "20" "SBL" "SBL-02" "ACSA" "20" "333" 2.31872809172282 0.0679880137131824
"J-067_20_30" "A10" "J-067" "20" "30" "MSH" "MSH-06" "FAGR" "30" "354" 5.61065371087523 0.0587671820548533
"E-006_20_30" "A9" "E-006" "20" "30" "SBL" "SBL-03" "ACSA" "30" "307" 9.2845150593742 0.0622671791255509
"E-039_30_30" "A6" "E-039" "30" "30" "SBL" "SBL-02" "ACSA" "20" "333" 1.6521243945199 0.100833642136362
"J-062_30_30" "A6" "J-062" "30" "30" "MSH" "MSH-01" "FAGR" "20" "386" 1.04287686405804 0.121115229028898
"J-082_20_20" "A9" "J-082" "20" "20" "MSH" "MSH-01" "FAGR" "30" "314" 1.60010601146344 0.108440757458691
"J-009_30_20" "A9" "J-009" "30" "20" "SBL" "SBL-02" "ACSA" "30" "333" 8.34552355246752 0.0676177097543618
"E-020_20_30" "A6" "E-020" "20" "30" "MSH" "MSH-03" "ACSA" "20" "314" 4.55114731092759 0.0735530731393371
"E-030_20_30" "A6" "E-030" "20" "30" "SBL" "SBL-01" "FAGR" "30" "333" 7.81827212542337 0.0780165082931548
"J-082_30_30" "A9" "J-082" "30" "30" "MSH" "MSH-01" "FAGR" "30" "314" 1.53511952281192 0.101323282063753
"E-020_30_30" "A6" "E-020" "30" "30" "MSH" "MSH-03" "ACSA" "20" "314" 5.5519350495147 0.0522961951903189
"J-037_20_20" "B" "J-037" "20" "20" "SBL" "SBL-01" "FAGR" "30" "399" 14.0757966498511 0.111757066958129
"J-056_20_20" "A1" "J-056" "20" "20" "MSH" "MSH-01" "FAGR" "30" "354" 1.61196582128996 0.103838278112137
"J-015_20_20" "A6" "J-015" "20" "20" "MSH" "MSH-01" "FAGR" "20" "427" 6.96834690337047 0.0638107526223029
"E-062_20_20" "A9" "E-062" "20" "20" "SBL" "SBL-03" "ACSA" "20" "307" 10.9229512749452 0.101081777179374
"J-005_20_20" "A6" "J-005" "20" "20" "SBL" "SBL-01" "FAGR" "20" "364" 1.29813202875725 0.0642543031106793
